State,Month,Unemployment,Unemployment_Change,COVID-19_Deaths,State_Population,Covid_Deaths_per_100k
Nebraska,8,4,-0.8,101,"1,961,504",5.149110071
Nevada,8,13.2,-0.8,474,"3,104,614",15.26759848
New Hampshire,8,6.5,-1.6,14,"1,377,529",1.016312542
New Jersey,8,10.9,-3,168,"9,288,994",1.808591975
New Mexico,8,11.3,-1.4,97,"2,117,522",4.580826079
New York,8,12.5,-3.4,105,"20,201,249",0.519769842
North Carolina,8,6.5,-2,900,"10,439,388",8.621195036
North Dakota,8,5,-1.6,42,"779,094",5.390877096
Ohio,8,8.9,0,776,"11,799,448",6.576578837
Oklahoma,8,5.7,-1.4,349,"3,959,353",8.814571472
Oregon,8,7.7,-2.7,129,"4,237,256",3.044423089
Pennsylvania,8,10.3,-3.4,505,"13,002,700",3.883808747
Rhode Island,8,12.8,1.6,45,"1,097,379",4.100679893
South Carolina,8,6.3,-2.3,1006,"5,118,425",19.65448356
South Dakota,8,4.8,-1.5,49,"886,667",5.526313712
Tennessee,8,8.5,-1,738,"6,910,840",10.67887551
Texas,8,6.8,-1.2,5132,"29,145,505",17.60820408
Utah,8,4.1,-0.4,95,"3,271,616",2.903763767
Vermont,8,4.8,-3.5,0,"643,077",0
Virginia,8,6.1,-1.9,472,"8,631,393",5.468410487
Washington,8,8.5,-1.8,287,"7,705,281",3.724718151
West Virginia,8,8.9,-1,109,"1,793,716",6.076770236
Wisconsin,8,6.2,-0.8,199,"5,893,718",3.376476445
Wyoming,8,6.6,-0.5,5,"576,851",0.866774956
Alabama,9,6.6,1,562,"5,024,279",11.18568455
Alaska,9,7.2,-0.2,12,"733,391",1.636234969
Arizona,9,6.7,0.8,271,"7,151,502",3.789413748
Arkansas,9,7.3,-0.1,420,"3,011,524",13.94642712
California,9,11,-0.4,2064,"39,538,223",5.220264957
Colorado,9,6.4,-0.3,117,"5,773,714",2.026425278
Connecticut,9,7.8,-0.3,43,"3,605,944",1.192475535
Delaware,9,8.2,-0.7,23,"989,948",2.323354358
Florida,9,7.6,0.2,2008,"21,538,187",9.322975978
Georgia,9,6.4,0.8,959,"10,711,908",8.95265344
Hawaii,9,15.1,2.6,128,"1,455,271",8.795612638
Idaho,9,6.1,1.9,114,"1,839,106",6.198663916
Illinois,9,10.2,-0.8,546,"12,812,508",4.261460754
Indiana,9,6.2,-0.2,411,"6,785,528",6.057008386
Iowa,9,4.7,-1.3,250,"3,190,369",7.836084165
Kansas,9,5.9,-1,230,"2,937,880",7.82877449
Kentucky,9,5.6,-2,294,"4,505,836",6.5248713
Louisiana,9,8.1,0.5,419,"4,657,757",8.995746236
Maine,9,6.1,-0.8,13,"1,362,359",0.95422719
Maryland,9,7.2,1.2,198,"6,177,224",3.205323297
Massachusetts,9,9.6,-1.7,101,"7,029,917",1.43671682
Michigan,9,8.5,-0.2,227,"10,077,331",2.252580569
Minnesota,9,6,-1.4,240,"5,706,494",4.20573473
Mississippi,9,7.1,-0.8,452,"2,961,279",15.26367492
Missouri,9,4.9,-2.1,667,"6,154,913",10.83687129
Montana,9,5.3,-0.3,93,"1,084,225",8.577555397
Nebraska,9,3.5,-0.5,115,"1,961,504",5.8628481
Nevada,9,12.6,-0.6,228,"3,104,614",7.343908132
New Hampshire,9,6,-0.5,0,"1,377,529",0
New Jersey,9,6.7,-4.2,143,"9,288,994",1.539456264
New Mexico,9,9.4,-1.9,53,"2,117,522",2.502925589
New York,9,9.7,-2.8,98,"20,201,249",0.485118519
North Carolina,9,7.3,0.8,898,"10,439,388",8.602036824
North Dakota,9,4.4,-0.6,117,"779,094",15.01744334
Ohio,9,8.4,-0.5,634,"11,799,448",5.373132709
Oklahoma,9,5.3,-0.4,351,"3,959,353",8.865084775
Oregon,9,8,0.3,84,"4,237,256",1.982415035
Pennsylvania,9,8.1,-2.2,416,"13,002,700",3.199335523
Rhode Island,9,10.5,-2.3,45,"1,097,379",4.100679893
South Carolina,9,5.1,-1.2,597,"5,118,425",11.66374422
South Dakota,9,4.1,-0.7,116,"886,667",13.08270185
Tennessee,9,6.3,-2.2,698,"6,910,840",10.10007467
Texas,9,8.3,1.5,2332,"29,145,505",8.001233809
Utah,9,5,0.9,77,"3,271,616",2.353576948
Vermont,9,4.2,-0.6,0,"643,077",0
Virginia,9,6.2,0.1,474,"8,631,393",5.491581718
Washington,9,7.8,-0.7,174,"7,705,281",2.258191492
West Virginia,9,8.6,-0.3,113,"1,793,716",6.299770978
Wisconsin,9,5.4,-0.8,218,"5,893,718",3.698853593
Wyoming,9,6.1,-0.5,12,"576,851",2.080259894
Alabama,10,5.8,-0.8,552,"5,024,279",10.98665102
Alaska,10,5.9,-1.3,32,"733,391",4.36329325
Arizona,10,8,1.3,258,"7,151,502",3.607633753
Arkansas,10,6.2,-1.1,626,"3,011,524",20.78681757
California,10,9.3,-1.7,1447,"39,538,223",3.659749706
Colorado,10,6.4,0,251,"5,773,714",4.347288418
Connecticut,10,6.1,-1.7,143,"3,605,944",3.965674453
Delaware,10,5.6,-2.6,79,"989,948",7.980217143
Florida,10,6.5,-1.1,1402,"21,538,187",6.509368685
Georgia,10,4.5,-1.9,768,"10,711,908",7.169591076
Hawaii,10,14.3,-0.8,71,"1,455,271",4.878816385
Idaho,10,5.5,-0.6,186,"1,839,106",10.11360955
Illinois,10,6.8,-3.4,1073,"12,812,508",8.374628917
Indiana,10,5,-1.2,877,"6,785,528",12.92456534
Iowa,10,3.6,-1.1,522,"3,190,369",16.36174374
Kansas,10,5.3,-0.6,418,"2,937,880",14.22794668
Kentucky,10,7.4,1.8,501,"4,505,836",11.11891334
Louisiana,10,9.4,1.3,341,"4,657,757",7.321120445
Maine,10,5.4,-0.7,10,"1,362,359",0.734020915
Maryland,10,7.8,0.6,245,"6,177,224",3.966182868
Massachusetts,10,7.4,-2.2,197,"7,029,917",2.802309046
Michigan,10,5.5,-3,584,"10,077,331",5.795185253
Minnesota,10,4.6,-1.4,494,"5,706,494",8.656803985
Mississippi,10,7.4,0.3,364,"2,961,279",12.291986
